經濟轎車,豐田,Toyota,Yaris,燃油車,AT,1500,5,4,1,2,toyota-yaris.png
經濟轎車,豐田,Toyota,Vios,燃油車,AT,1500,5,4,1,2,toyota-vios.jpg
經濟轎車,豐田,Toyota,Altis,燃油車,AT,1800,5,4,2,2,toyota-altis.png
經濟轎車,豐田,Toyota,Prius C,燃油車,AT,2000,5,4,2,2,toyota-camry.png
豪華轎車,豐田,Toyota,Camry,燃油車,AT,2000,5,4,1,2,toyota-prius-c.jpg
豪華轎車,豐田,Toyota,Auris,燃油車,AT,2000,5,4,2,2,toyota-auris.jpg
休旅車/SUV,豐田,Toyota,bZ4X,電動車,AT,0,5,4,2,1,toyota-bz4x.jpg
休旅車/SUV,豐田,Toyota,Corolla Cross,燃油車,AT,1800,5,5,3,2,toyota-corolla-cross.jpg
休旅車/SUV,豐田,Toyota,Sienta,燃油車,AT,1500,5,5,2,2,toyota-sienta.png
